gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
TRIM49D2,ENSG00000233802,729384,C9J1S8,RING,RING,19.2667,577.4,basophil,granulocytes,12.2243,1.0,2.2819,112.1653
TRIM64B,ENSG00000189253,642446,A6NI03,RING,RING,24.3767,723.3,basophil,granulocytes,10.9104,0.9996,2.5913,103.6139
SOCS2,ENSG00000120833,8835,O14508,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),112.5667,2448.0,basophil,granulocytes,6.2514,0.9869,2.238,69.4571
RNF24,ENSG00000101236,11237,Q9Y225,RING,RING,127.97,2085.8,neutrophil,granulocytes,5.1062,0.971,1.679,54.6743
ABTB1,ENSG00000114626,80325,Q969K4,CRL3,CRL3 substrate receptor (BTB protein),151.9533,2210.2,neutrophil,granulocytes,4.7688,0.9634,0.9198,51.0426
RNF149,ENSG00000163162,284996,Q8NC42,RING,RING,261.6067,3124.2,neutrophil,granulocytes,4.2606,0.9479,1.2012,46.8856
PELI1,ENSG00000197329,57162,Q96FA3,degenerate RING,Degenerate RING,82.0933,1105.3,neutrophil,granulocytes,4.5585,0.9576,1.5502,44.1415
TRIM49D1,ENSG00000223417,399939,C9J1S8,RING,RING,8.3233,169.2,basophil,granulocytes,5.8794,0.9836,1.1879,42.8582
TRIM64,ENSG00000204450,120146,A6NGJ6,RING,RING,1.0533,31.5,basophil,granulocytes,8.2549,0.9999,1.4952,41.4545
ATG16L2,ENSG00000168010,89849,Q8NAA4,CRL4,CRL4 substrate receptor (DDB1-binding protein),164.6033,1738.9,neutrophil,granulocytes,3.9772,0.9366,1.0489,40.0978
HERC5,ENSG00000138646,51191,Q9UII4,HECT,"HECT E3 ligase, Ubl E3",50.6633,648.1,neutrophil,granulocytes,4.4256,0.9536,1.078,39.4278
CDC20,ENSG00000117399,991,Q12834,APC/C,APC substrate receptor,6.6867,122.6,Plasmablast,B-cells,5.4589,0.9781,2.4872,37.1046
FBXL5,ENSG00000118564,26234,Q9UKA1,CRL1,CRL1 substrate receptor (F-box protein),260.17,2305.1,neutrophil,granulocytes,3.6027,0.9177,1.074,36.9351
KLHL14,ENSG00000197705,57565,Q9P2G3,CRL3,CRL3 substrate receptor (BTB protein),9.9033,165.0,Plasmablast,B-cells,5.1484,0.9724,3.2936,36.9211
FBXL13,ENSG00000161040,222235,Q8NEE6,CRL1,CRL1 substrate receptor (F-box protein),4.57,89.0,neutrophil,granulocytes,5.6629,0.9814,1.1288,36.0777
TRAF4,ENSG00000076604,9618,Q9BUZ4,RING,RING,18.8233,260.3,plasmacytoid DC,dendritic cells,4.6191,0.9597,1.4851,35.5934
TRIM51,ENSG00000124900,84767,Q9BSJ1,RING,RING,0.7267,21.5,basophil,granulocytes,7.6129,0.9995,1.4152,34.1794
NEURL1,ENSG00000107954,9148,O76050,RING,RING,11.77,167.5,non-classical monocyte,monocytes,4.6884,0.9618,1.4938,33.3535
RNF220,ENSG00000187147,55182,Q5VTB9,RING,RING,5.8367,95.9,Progenitor cell,Progenitors,5.0836,0.9715,1.3176,32.5887
IVNS1ABP,ENSG00000116679,10625,Q9Y6Y0,CRL3,CRL3 substrate receptor (BTB protein),168.58,1351.6,neutrophil,granulocytes,3.4018,0.9055,0.9139,32.0389
SOCS3,ENSG00000184557,9021,O14543,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),59.5733,536.6,neutrophil,granulocytes,3.6342,0.9196,1.5273,30.3145
TRIM25,ENSG00000121060,7706,Q14258,RING,"RING, Ubl E3",46.2867,415.8,neutrophil,granulocytes,3.6278,0.9193,0.8353,29.0261
RNF13,ENSG00000082996,11342,O43567,RING,RING,204.8567,1409.5,neutrophil,granulocytes,3.1087,0.8841,0.9072,28.7543
KLHL33,ENSG00000185271,123103,A6NCF5,CRL3,CRL3 substrate receptor (BTB protein),2.9433,49.5,plasmacytoid DC,dendritic cells,5.1083,0.973,1.0294,28.1225
RNF130,ENSG00000113269,55819,Q86XS8,RING,RING,203.5033,1367.1,neutrophil,granulocytes,3.064,0.8805,2.2069,28.1063
SOCS1,ENSG00000185338,8651,O15524,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",4.4,58.3,basophil,granulocytes,4.4666,0.9564,1.7562,25.1613
RNF175,ENSG00000145428,285533,Q8N4F7,RING,RING,4.1933,53.6,neutrophil,granulocytes,4.3741,0.9536,2.6686,24.0697
COP1,ENSG00000143207,64326,Q8NHY2,CRL4,"RING, CRL4 substrate receptor (DDB1-binding protein)",31.6567,247.6,neutrophil,granulocytes,3.349,0.9022,0.8285,24.0441
SPOPL,ENSG00000144228,339745,Q6IQ16,CRL3,CRL3 substrate receptor (BTB protein),16.98,148.6,neutrophil,granulocytes,3.5676,0.9163,1.167,23.618
PDZRN3,ENSG00000121440,23024,Q9UPQ7,RING,RING,0.3533,10.5,plasmacytoid DC,dendritic cells,6.679,0.9997,1.2148,23.5262
KCTD12,ENSG00000178695,115207,Q96CX2,CRL3,CRL3 substrate receptor (BTB protein),9.6767,95.7,myeloid DC,dendritic cells,3.8142,0.9299,2.9151,23.3926
KCTD5,ENSG00000167977,54442,Q9NXV2,CRL3,CRL3 substrate receptor (BTB protein),24.22,190.6,plasmacytoid DC,dendritic cells,3.3593,0.903,0.8612,23.0
RNF144B,ENSG00000137393,255488,Q7Z419,RBR,RING-between-RING,34.7467,251.9,non-classical monocyte,monocytes,3.2034,0.8918,2.3377,22.8035
PELI2,ENSG00000139946,57161,Q9HAT8,degenerate RING,Degenerate RING,14.28,122.4,neutrophil,granulocytes,3.5236,0.9138,1.3527,22.369
CISH,ENSG00000114737,1154,Q9NSE2,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",97.3967,554.0,basophil,granulocytes,2.7608,0.8526,1.8829,21.4591
SHKBP1,ENSG00000160410,92799,Q8TBC3,CRL3,CRL3 substrate receptor (BTB protein),251.04,1244.7,neutrophil,granulocytes,2.521,0.8258,0.7324,21.4079
TRIM21,ENSG00000132109,6737,P19474,RING,RING,86.3067,496.9,neutrophil,granulocytes,2.7822,0.8548,0.6548,21.3084
HECW2,ENSG00000138411,57520,Q9P2P5,HECT,HECT E3 ligase,1.3867,21.3,neutrophil,granulocytes,4.7415,0.9671,1.5052,20.539
RNF19B,ENSG00000116514,127544,Q6ZMZ0,RBR,RING-between-RING,14.4267,111.7,neutrophil,granulocytes,3.3229,0.9009,1.3441,20.4049
MARCHF3,ENSG00000173926,115123,Q86UD3,RING,RING,13.48,103.6,naive B-cell,B-cells,3.3077,0.8999,1.5834,19.9691
RTF2,ENSG00000022277,51507,Q9BY42,degenerate RING,Degenerate RING,203.7167,939.9,neutrophil,granulocytes,2.3973,0.8103,0.6132,19.1873
KBTBD7,ENSG00000120696,84078,Q8WVZ9,CRL3,CRL3 substrate receptor (BTB protein),17.53,121.8,neutrophil,granulocytes,3.1187,0.8856,0.6673,19.1678
DTX3L,ENSG00000163840,151636,Q8TDB6,RING,RING,69.1567,369.9,neutrophil,granulocytes,2.6515,0.8411,0.9245,19.0339
KLHL2,ENSG00000109466,11275,O95198,CRL3,CRL3 substrate receptor (BTB protein),14.0367,101.4,neutrophil,granulocytes,3.1897,0.8913,1.0122,18.9853
UBR2,ENSG00000024048,23304,Q8IWV8,RING,RING,59.5567,325.0,neutrophil,granulocytes,2.6864,0.8449,0.6136,18.9499
KLHL13,ENSG00000003096,90293,Q9P2N7,CRL3,CRL3 substrate receptor (BTB protein),2.55,29.0,Progenitor cell,Progenitors,4.0656,0.9435,2.2502,18.8226
RNF141,ENSG00000110315,50862,Q8WVD5,RING,RING,59.0333,318.8,neutrophil,granulocytes,2.668,0.8429,1.2721,18.7136
BTBD19,ENSG00000222009,149478,C9JJ37,CRL3,CRL3 substrate receptor (BTB protein),2.3733,27.3,neutrophil,granulocytes,4.0856,0.9445,1.7081,18.6114
TBL1X,ENSG00000101849,6907,O60907,CRL4,CRL4 substrate receptor (DDB1-binding protein),20.4667,132.5,neutrophil,granulocytes,2.9889,0.8747,1.0291,18.459
NFXL1,ENSG00000170448,152518,Q6ZNB6,RING,RING,8.3067,64.7,neutrophil,granulocytes,3.3259,0.9017,0.9949,18.1067
FBH1,ENSG00000134452,84893,Q8NFZ0,CRL1,CRL1 substrate receptor (F-box protein),28.25,167.2,Plasmablast,B-cells,2.8281,0.8597,0.5927,17.9773
TOPORS,ENSG00000197579,10210,Q9NS56,RING,RING,63.3533,325.7,neutrophil,granulocytes,2.5821,0.8333,0.5793,17.9696
AHR,ENSG00000106546,196,P35869,CRL4,CRL4 substrate receptor (DDB1-binding protein),22.0133,134.2,myeloid DC,dendritic cells,2.8799,0.8648,1.3561,17.6302
TRIM6,ENSG00000121236,117854,Q9C030,RING,RING,1.5433,18.8,neutrophil,granulocytes,4.1723,0.9496,1.2769,17.0654
TNFAIP3,ENSG00000118503,7128,P21580,atypical,Atypical E3 (A20-type zinc finger),854.19,3039.7,neutrophil,granulocytes,1.9644,0.7438,1.4723,16.9052
KLHL21,ENSG00000162413,9903,Q9UJP4,CRL3,CRL3 substrate receptor (BTB protein),36.52,191.6,neutrophil,granulocytes,2.6159,0.8373,0.6972,16.6232
TRIM36,ENSG00000152503,55521,Q9NQ86,RING,RING,1.9133,20.6,non-classical monocyte,monocytes,3.9185,0.9384,2.2937,16.3004
ZNFX1,ENSG00000124201,57169,Q9P2E3,degenerate RING,"Degenerate RING, atypical",106.8967,463.1,neutrophil,granulocytes,2.29,0.7957,0.6383,16.141
RCBTB2,ENSG00000136161,1102,O95199,CRL3,CRL3 substrate receptor (BTB protein),60.72,280.0,neutrophil,granulocytes,2.3949,0.8101,1.5391,15.7823
MEX3C,ENSG00000176624,51320,Q5U5Q3,RING,RING,17.3467,99.1,basophil,granulocytes,2.7616,0.8534,0.7764,15.6617
PJA2,ENSG00000198961,9867,O43164,RING,RING,139.4633,567.4,neutrophil,granulocytes,2.1849,0.7802,0.5369,15.5994
KLHL23,ENSG00000213160,151230,Q8NBE8,CRL3,CRL3 substrate receptor (BTB protein),5.3367,39.0,Progenitor cell,Progenitors,3.1929,0.8929,1.5201,15.1729
WSB1,ENSG00000109046,26118,Q9Y6I7,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),255.0033,942.0,non-classical monocyte,monocytes,2.0254,0.7544,0.7693,15.0989
EGR2,ENSG00000122877,1959,P11161,atypical,"Atypical E3, SUMO E3",8.5433,54.8,classical monocyte,monocytes,2.9615,0.8732,2.1876,15.0043
MARCHF7,ENSG00000136536,64844,Q9H992,RING,RING,211.7067,788.5,neutrophil,granulocytes,2.0388,0.7567,0.4507,14.8494
DTL,ENSG00000143476,51514,Q9NZJ0,CRL4,CRL4 substrate receptor (DDB1-binding protein),1.9267,18.7,Plasmablast,B-cells,3.6983,0.9279,2.0108,14.7566
BTBD3,ENSG00000132640,22903,Q9Y2F9,CRL3,CRL3 substrate receptor (BTB protein),4.7533,34.8,Progenitor cell,Progenitors,3.1926,0.8932,2.2676,14.7196
TRIM9,ENSG00000100505,114088,Q9C026,RING,RING,0.6967,10.0,neutrophil,granulocytes,4.4077,0.9624,1.6841,14.6749
RBCK1,ENSG00000125826,10616,Q9BYM8,RBR,RING-between-RING,126.0733,483.1,neutrophil,granulocytes,2.0853,0.7645,0.4766,14.2196
MEX3B,ENSG00000183496,84206,Q6ZN04,RING,RING,0.48,7.9,Progenitor cell,Progenitors,4.6253,0.9716,1.5734,14.1735
MARCHF1,ENSG00000145416,55016,Q8TCQ1,RING,RING,74.5567,303.0,classical monocyte,monocytes,2.1823,0.7799,3.4916,14.0386
KLHL4,ENSG00000102271,56062,Q9C0H6,CRL3,CRL3 substrate receptor (BTB protein),0.7167,9.5,Terminal effector memory CD4 T-cell,T-cells,4.2238,0.9564,1.8771,13.7043
RC3H1,ENSG00000135870,149041,Q5TC82,RING,RING,39.21,169.9,neutrophil,granulocytes,2.2882,0.7957,0.5852,13.5052
RFPL4A,ENSG00000223638,342931,A6NLU0,RING,RING,1.6467,15.0,classical monocyte,monocytes,3.5534,0.9209,2.4164,13.0894
RNF10,ENSG00000022840,9921,Q8N5U6,RING,RING,336.2,1089.4,basophil,granulocytes,1.8118,0.7152,0.5345,13.076
RNF5,ENSG00000204308,6048,Q99942,RING,RING,62.0667,244.2,plasmacytoid DC,dendritic cells,2.1281,0.7716,0.4694,13.0334
MYLIP,ENSG00000007944,29116,Q8WY64,RING,RING,40.04,167.1,neutrophil,granulocytes,2.2252,0.7866,0.7228,12.9407
UHRF1,ENSG00000276043,29128,Q96T88,RING,RING,4.58,29.9,Plasmablast,B-cells,2.9783,0.876,1.24,12.9135
FBXO10,ENSG00000147912,26267,Q9UK96,CRL1,CRL1 substrate receptor (F-box protein),4.0267,27.2,Switched memory B-cell,B-cells,3.0364,0.8813,1.9304,12.8922
SH3RF1,ENSG00000154447,57630,Q7Z6J0,RING,RING,4.8133,30.9,intermediate monocyte,monocytes,2.9492,0.8733,3.1366,12.8668
WWP2,ENSG00000198373,11060,O00308,HECT,HECT E3 ligase,91.65,339.0,neutrophil,granulocytes,2.0267,0.7548,0.5646,12.8644
ABTB2,ENSG00000166016,25841,Q8N961,CRL3,CRL3 substrate receptor (BTB protein),1.4,13.3,plasmacytoid DC,dendritic cells,3.6203,0.9256,1.2499,12.8606
LMO7,ENSG00000136153,4008,Q8WWI1,CRL1,CRL1 substrate receptor (F-box protein),14.1067,68.9,naive CD4 T-cell,T-cells,2.4859,0.8227,1.3143,12.5309
RHOBTB1,ENSG00000072422,9886,O94844,CRL3,CRL3 substrate receptor (BTB protein),0.5467,7.5,Progenitor cell,Progenitors,4.2233,0.9591,1.7582,12.5056
WDR26,ENSG00000162923,80232,Q9H7D7,CRL4,CRL4 substrate receptor (DDB1-binding protein),23.3367,102.7,neutrophil,granulocytes,2.3121,0.7994,0.53,12.3771
MKRN1,ENSG00000133606,23608,Q9UHC7,RING,RING,84.31,305.6,neutrophil,granulocytes,1.9933,0.7491,0.622,12.3339
RFFL,ENSG00000092871,117584,Q8WZ73,RING,RING,72.9,267.4,neutrophil,granulocytes,2.0126,0.7525,0.8725,12.2185
ASB9,ENSG00000102048,140462,Q96DX5,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),1.6967,14.2,Progenitor cell,Progenitors,3.3885,0.9109,1.2021,12.1176
BIRC7,ENSG00000101197,79444,Q96CA5,RING,RING,0.2233,4.7,naive CD8 T-cell,T-cells,4.8282,0.9853,1.2536,11.9456
DTX2,ENSG00000091073,113878,Q86UW9,RING,RING,47.42,179.7,neutrophil,granulocytes,2.0654,0.7615,0.5882,11.7918
